Original|Commons
0307.a.0001.tif|Teotihuacans monumentalbyggnader utlagda på karta över Stockholm._-_SMVK-EM_-_0001.tif
0307.a.0002.a.tif|Solpyramiden._-_SMVK-EM_-_0002.a.tif
0307.a.0002.b.tif|Solpyramiden._-_SMVK-EM_-_0002.b.tif
0307.a.0003.a.tif|Solpyramiden._-_SMVK-EM_-_0003.a.tif
0307.a.0003.b.tif|Solpyramiden._-_SMVK-EM_-_0003.b.tif
0307.a.0004.tif|Solpyramiden._-_SMVK-EM_-_0004.tif
0307.a.0005.tif|Solpyramiden._-_SMVK-EM_-_0005.tif
0307.a.0005.a.tif|Solpyramiden._-_SMVK-EM_-_0005.a.tif
0307.a.0005.b.tif|Solpyramiden._-_SMVK-EM_-_0005.b.tif
0307.a.0005.c.tif|Solpyramiden._-_SMVK-EM_-_0005.c.tif
0307.a.0006.tif|Solpyramiden._-_SMVK-EM_-_0006.tif
0307.a.0007.tif|Solpyramiden._-_SMVK-EM_-_0007.tif
0307.a.0007.a.tif|Casa administration vid Solpyramiden. Administrationshuset i Teotihuacan. Fönstret längst till höger i andra våningen "vårt". I bakgrunden solpyramiden, 68 m. hög, 230 m vid basen. (katalogkort)_-_SMVK-EM_-_0007.a.tif
0307.a.0007.b.tif|Casa administration vid Solpyramiden. Administrationshuset i Teotihuacan. Fönstret längst till höger i andra våningen "vårt". I bakgrunden solpyramiden, 68 m. hög, 230 m vid basen. (katalogkort)_-_SMVK-EM_-_0007.b.tif
0307.a.0008.a.tif|Solpyramiden._-_SMVK-EM_-_0008.a.tif
0307.a.0008.b.tif|Solpyramiden._-_SMVK-EM_-_0008.b.tif
0307.a.0008.c.tif|Solpyramiden._-_SMVK-EM_-_0008.c.tif
0307.a.0008.d.tif|Solpyramiden. Från "La Ciudadela". Framför denna skymtar museet och mellan detta och pyramiden administrationsbyggnaden. (katalogkort)_-_SMVK-EM_-_0008.d.tif
0307.a.0008.e.tif|Solpyramiden. Den väldiga solpyramiden i Teoticuacan är, näst den svårt förstörda pyramiden i Cholula, fornamerikas största byggnadsverk. Se S. Linné: El valle y la ciudad de Mexico en 1550. Fig. 25, sid. 109._-_SMVK-EM_-_0008.e.tif
0307.a.0009.tif|Solpyramiden._-_SMVK-EM_-_0009.tif
0307.a.0010.a.tif|Solpyramiden._-_SMVK-EM_-_0010.a.tif
0307.a.0010.b.tif|Solpyramiden._-_SMVK-EM_-_0010.b.tif
0307.a.0011.tif|Solpyramiden._-_SMVK-EM_-_0011.tif
0307.a.0012.tif|Solpyramiden._-_SMVK-EM_-_0012.tif
0307.a.0013.tif|Solpyramiden._-_SMVK-EM_-_0013.tif
0307.a.0014.tif|Solpyramiden._-_SMVK-EM_-_0014.tif
0307.a.0015.tif|Solpyramiden._-_SMVK-EM_-_0015.tif
0307.a.0016.tif|Solpyramiden._-_SMVK-EM_-_0016.tif
0307.a.0017.tif|Solpyramiden._-_SMVK-EM_-_0017.tif
0307.a.0018.tif|Solpyramiden._-_SMVK-EM_-_0018.tif
0307.a.0019.tif|Solpyramiden._-_SMVK-EM_-_0019.tif
0307.a.0020.tif|Solpyramiden._-_SMVK-EM_-_0020.tif
0307.a.0021.tif|Solpyramiden._-_SMVK-EM_-_0021.tif
0307.a.0022.tif|Solpyramiden._-_SMVK-EM_-_0022.tif
0307.a.0023.tif|Solpyramiden._-_SMVK-EM_-_0023.tif
0307.a.0024.tif|Solpyramiden._-_SMVK-EM_-_0024.tif
0307.a.0025.tif|djur, får, åsna Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0025.tif
0307.a.0026.tif|djur, får, åsna Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0026.tif
0307.a.0027.tif|pyramid, tempel, trappa Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0027.tif
0307.a.0028.tif|pyramid, tempel, trappa Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0028.tif
0307.a.0029.tif|militär, män, uniform Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0029.tif
0307.a.0030.tif|De dödas väg._-_SMVK-EM_-_0030.tif
0307.a.0031.tif|De dödas väg._-_SMVK-EM_-_0031.tif
0307.a.0032.tif|fornlämning Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0032.tif
0307.a.0033.a.tif|trappa, utsikt Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0033.a.tif
0307.a.0033.b.tif|Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0033.b.tif
0307.a.0034.a.tif|Månpyramiden_-_SMVK-EM_-_0034.a.tif
0307.a.0034.b.tif|Månpyramiden_-_SMVK-EM_-_0034.b.tif
0307.a.0035.tif|Månpyramiden_-_SMVK-EM_-_0035.tif
0307.a.0036.tif|Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0036.tif
0307.a.0037.tif|pyramid, tempel Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0037.tif
0307.a.0038.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0038.tif
0307.a.0039.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0039.tif
0307.a.0040.tif|Från utgrävningarna vid Thomas Palmas hus. Dr Sigvald Linné._-_SMVK-EM_-_0040.tif
0307.a.0041.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0041.tif
0307.a.0042.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0042.tif
0307.a.0043.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0043.tif
0307.a.0044.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0044.tif
0307.a.0045.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0045.tif
0307.a.0046.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0046.tif
0307.a.0047.tif|Från utgrävningarna vid Thomas Palmas hus._-_SMVK-EM_-_0047.tif
0307.a.0048.tif|Från Dr. Vaillants grävningar_-_SMVK-EM_-_0048.tif
0307.a.0049.tif|Från Dr. Vaillants grävningar_-_SMVK-EM_-_0049.tif
0307.a.0050.tif|Från Dr. Vaillants grävningar_-_SMVK-EM_-_0050.tif
0307.a.0051.tif|Från vänster: Sr. Perez (administador), fru Perez, fru Perez moder, Dr. G. C. Vaillant, fru Vaillant._-_SMVK-EM_-_0051.tif
0307.a.0052.tif|barn, kvinna, trappa Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0052.tif
0307.a.0053.tif|Dr o fru Linné tvättar krukskärvor._-_SMVK-EM_-_0053.tif
0307.a.0054.tif|hund Utgrävningar i Teotihuacan (1932)_-_SMVK-EM_-_0054.tif
