Original|Commons
0307.a.0001|Teotihuacans_monumentalbyggnader_utlagda_på_karta_över_Stockholm_-_SMVK_-_0307.a.0001.tif
0307.a.0002.a|Solpyramiden_-_SMVK_-_0307.a.0002.a.tif
0307.a.0002.b|Solpyramiden_-_SMVK_-_0307.a.0002.b.tif
0307.a.0003.a|Solpyramiden_-_SMVK_-_0307.a.0003.a.tif
0307.a.0003.b|Solpyramiden_-_SMVK_-_0307.a.0003.b.tif
0307.a.0004|Solpyramiden_-_SMVK_-_0307.a.0004.tif
0307.a.0005|Solpyramiden_-_SMVK_-_0307.a.0005.tif
0307.a.0005.a|Solpyramiden_-_SMVK_-_0307.a.0005.a.tif
0307.a.0005.b|Solpyramiden_-_SMVK_-_0307.a.0005.b.tif
0307.a.0005.c|Solpyramiden_-_SMVK_-_0307.a.0005.c.tif
0307.a.0006|Solpyramiden_-_SMVK_-_0307.a.0006.tif
0307.a.0007|Solpyramiden_-_SMVK_-_0307.a.0007.tif
0307.a.0007.a|Casa_administration_vid_Solpyramiden._Administrationshuset_i_Teotihuacan_-_SMVK_-_0307.a.0007.a.tif
0307.a.0007.b|Casa_administration_vid_Solpyramiden._Administrationshuset_i_Teotihuacan_-_SMVK_-_0307.a.0007.b.tif
0307.a.0008.a|Solpyramiden_-_SMVK_-_0307.a.0008.a.tif
0307.a.0008.b|Solpyramiden_-_SMVK_-_0307.a.0008.b.tif
0307.a.0008.c|Solpyramiden_-_SMVK_-_0307.a.0008.c.tif
0307.a.0008.d|Solpyramiden._Från_La_Ciudadela_-_SMVK_-_0307.a.0008.d.tif
0307.a.0008.e|Solpyramiden_-_SMVK_-_0307.a.0008.e.tif
0307.a.0009|Solpyramiden_-_SMVK_-_0307.a.0009.tif
0307.a.0010.a|Solpyramiden_-_SMVK_-_0307.a.0010.a.tif
0307.a.0010.b|Solpyramiden_-_SMVK_-_0307.a.0010.b.tif
0307.a.0011|Solpyramiden_-_SMVK_-_0307.a.0011.tif
0307.a.0012|Solpyramiden_-_SMVK_-_0307.a.0012.tif
0307.a.0013|Solpyramiden_-_SMVK_-_0307.a.0013.tif
0307.a.0014|Solpyramiden_-_SMVK_-_0307.a.0014.tif
0307.a.0015|Solpyramiden_-_SMVK_-_0307.a.0015.tif
0307.a.0016|Solpyramiden_-_SMVK_-_0307.a.0016.tif
0307.a.0017|Solpyramiden_-_SMVK_-_0307.a.0017.tif
0307.a.0018|Solpyramiden_-_SMVK_-_0307.a.0018.tif
0307.a.0019|Solpyramiden_-_SMVK_-_0307.a.0019.tif
0307.a.0020|Solpyramiden_-_SMVK_-_0307.a.0020.tif
0307.a.0021|Solpyramiden_-_SMVK_-_0307.a.0021.tif
0307.a.0022|Solpyramiden_-_SMVK_-_0307.a.0022.tif
0307.a.0023|Solpyramiden_-_SMVK_-_0307.a.0023.tif
0307.a.0024|Solpyramiden_-_SMVK_-_0307.a.0024.tif
0307.a.0025|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0025.tif
0307.a.0026|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0026.tif
0307.a.0027|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0027.tif
0307.a.0028|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0028.tif
0307.a.0029|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0029.tif
0307.a.0030|De_dödas_väg_-_SMVK_-_0307.a.0030.tif
0307.a.0031|De_dödas_väg_-_SMVK_-_0307.a.0031.tif
0307.a.0032|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0032.tif
0307.a.0033.a|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0033.a.tif
0307.a.0033.b|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0033.b.tif
0307.a.0034.a|Månpyramiden_-_SMVK_-_0307.a.0034.a.tif
0307.a.0034.b|Månpyramiden_-_SMVK_-_0307.a.0034.b.tif
0307.a.0035|Månpyramiden_-_SMVK_-_0307.a.0035.tif
0307.a.0036|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0036.tif
0307.a.0037|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0037.tif
0307.a.0038|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0038.tif
0307.a.0039|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0039.tif
0307.a.0040|Från_utgrävningarna_vid_Thomas_Palmas_hus._Dr_Sigvald_Linné_-_SMVK_-_0307.a.0040.tif
0307.a.0041|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0041.tif
0307.a.0042|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0042.tif
0307.a.0043|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0043.tif
0307.a.0044|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0044.tif
0307.a.0045|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0045.tif
0307.a.0046|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0046.tif
0307.a.0047|Från_utgrävningarna_vid_Thomas_Palmas_hus_-_SMVK_-_0307.a.0047.tif
0307.a.0048|Från_Dr._Vaillants_grävningar_-_SMVK_-_0307.a.0048.tif
0307.a.0049|Från_Dr._Vaillants_grävningar_-_SMVK_-_0307.a.0049.tif
0307.a.0050|Från_Dr._Vaillants_grävningar_-_SMVK_-_0307.a.0050.tif
0307.a.0051|Från_vänster,_Sr._Perez_(administador),_fru_Perez,_fru_Perez_moder,_Dr._G._C_-_SMVK_-_0307.a.0051.tif
0307.a.0052|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0052.tif
0307.a.0053|Dr_o_fru_Linné_tvättar_krukskärvor_-_SMVK_-_0307.a.0053.tif
0307.a.0054|Utgrävningar_i_Teotihuacan_(1932)_-_SMVK_-_0307.a.0054.tif
0307.a.0055|Utanför_administrationsbyggnaden_-_SMVK_-_0307.a.0055.tif
0307.a.0056|Museet_i_Teotihuacan_-_SMVK_-_0307.a.0056.tif
0307.a.0057|Från_trädgården_vid_Teotihuacans_museum_-_SMVK_-_0307.a.0057.tif
0307.a.0058|Från_trädgården_vid_Teotihuacans_museum_-_SMVK_-_0307.a.0058.tif
0307.a.0059|Keramiksäljande_kvinnor_utanför_museet_-_SMVK_-_0307.a.0059.tif
0307.a.0060|Keramiksäljande_kvinnor_utanför_museet_-_SMVK_-_0307.a.0060.tif
0307.a.0061|Floden_som_rinner_genom_ruinstaden_(under_torrtiden)_-_SMVK_-_0307.a.0061.tif
0307.a.0062|Floden_som_rinner_genom_ruinstaden_(under_torrtiden)_-_SMVK_-_0307.a.0062.tif
0307.a.0063|Kaktusvegetation._Ant_-_SMVK_-_0307.a.0063.tif
0307.a.0064|Kaktusvegetation._Ant_-_SMVK_-_0307.a.0064.tif
